data,hora,linha,atraso_minutos
03/04/2025,07:17,15A,17.0
04/04/2025,07:15,15,32.0
04/04/2025,07:36,15A,36.0
04/04/2025,08:40,15,22.0
04/04/2025,11:56,15A,86.0
04/04/2025,13:29,15A,19.0
07/04/2025,05:30,15A,-50.0
04/04/2025,13:17,15,84.0
07/04/2025,07:05,15A,5.0
07/04/2025,18:51,15A,51.0
08/04/2025,07:30,15A,30.0
09/04/2025,08:43,15A,43.0
07/04/2025,07:26,15,38.0
09/04/2025,18:34,15A,34.0
10/04/2025,07:31,15A,31.0
09/04/2025,19:34,15,11.0
10/04/2025,08:33,15A,33.0
10/04/2025,08:36,15,
10/04/2025,10:36,15A,6.0
11/04/2025,07:19,15A,9.0
10/04/2025,11:27,15,
11/04/2025,09:02,15A,62.0
14/04/2025,06:50,15A,5.0
14/04/2025,08:42,15A,42.0
12/04/2025,07:15,15,27.0
15/04/2025,06:57,15A,12.0
15/04/2025,07:21,15,33.0
15/04/2025,13:25,15,2.0
16/04/2025,08:44,15,26.0
15/04/2025,13:12,15A,2.0
16/04/2025,16:36,15A,26.0
16/04/2025,10:32,15,34.0
17/04/2025,10:32,15,34.0
22/04/2025,08:41,15,23.0
16/04/2025,17:11,15A,36.0
23/04/2025,08:40,15,22.0
24/04/2025,10:31,15,33.0
23/04/2025,12:41,15A,16.0
25/04/2025,09:10,15,52.0
30/04/2025,18:35,15A,35.0
05/05/2025,08:44,15,26.0
14/05/2025,10:28,15,30.0
14/05/2025,10:22,15A,42.0
14/05/2025,12:10,15,17.0
14/05/2025,13:22,15A,12.0
14/05/2025,14:37,15,34.0
15/05/2025,06:45,15A,0.0
15/05/2025,07:16,15,28.0
15/05/2025,12:08,15,20.0
15/05/2025,08:41,15A,41.0
16/05/2025,12:22,15A,22.0
16/05/2025,13:17,15A,7.0
16/05/2025,10:28,15,30.0
16/05/2025,18:45,15,32.0
17/05/2025,18:45,15,32.0
16/05/2025,18:23,15A,108.0
20/05/2025,07:18,15A,18.0
20/05/2025,06:46,15,13.0
20/05/2025,08:43,15A,43.0
20/05/2025,11:57,15A,87.0
20/05/2025,10:25,15,
20/05/2025,15:22,15,79.0
20/05/2025,18:33,15,20.0
20/05/2025,15:22,15A,67.0
21/05/2025,06:39,15,6.0
21/05/2025,10:32,15,34.0
21/05/2025,08:44,15A,44.0
21/05/2025,13:12,15,79.0
21/05/2025,14:48,15A,58.0
21/05/2025,16:34,15,61.0
21/05/2025,18:23,15,10.0
21/05/2025,18:16,15A,16.0
23/05/2025,11:55,15A,85.0
23/05/2025,08:39,15,21.0
23/05/2025,16:32,15A,67.0
24/05/2025,07:10,15A,10.0
23/05/2025,18:32,15,19.0
